Name,Provider ID,External ID,Cloud Platform,Subscription,Subscription ID,Projects,Region,Tags,Resource Type,Native Type,Last Seen
Verdaccio-misconfig-dani,arn:aws:ec2:us-east-2:001791986277:instance/i-01c28c12e50a9a306,i-01c28c12e50a9a306,AWS,AWS Demo Scenarios 2,001791986277,"AWS demo,Acme,Acme AWS App,EBC_Labs,Wiz Dev,Wiz Factory Dev,Wiz Inc",us-east-2,"{""Name"": ""Verdaccio-misconfig-dani""}",VIRTUAL_MACHINE,virtualMachine,2024-10-30T20:04:58Z
shahar-test-2,ocid1.instance.oc1.iad.anuwcljr356jruicdqad36lnyfer2c3ddl6d6nwz7eq2gj3bc7mmeolj2j7a,ocid1.instance.oc1.iad.anuwcljr356jruicdqad36lnyfer2c3ddl6d6nwz7eq2gj3bc7mmeolj2j7a,OCI,Shahar-Test,ocid1.compartment.oc1..aaaaaaaak5ufmwkstsdsru3546mkz37anzqfzatwbwuxjf4jerpodpcahxna,"Acme,Acme Oracle App,OCI demo",us-ashburn-1,"{""Oracle-Tags.CreatedBy"": ""okta/shahar.rand@wiz.io"", ""Oracle-Tags.CreatedOn"": ""2024-03-21T09:09:03.714Z""}",VIRTUAL_MACHINE,oci#computeInstance,2024-10-30T19:04:25Z
gke-schemel-demo-default-pool-1a59d00b-u9lz,https://www.googleapis.com/compute/v1/projects/round-kit-289318/zones/us-west1-c/instances/gke-schemel-demo-default-pool-1a59d00b-u9lz,3824479307152336246,GCP,Demo-project,round-kit-289318,"App A,GCP Subscription Project ,Google Workspace _GCP Org Demo",us-west1,"{""goog-gke-node"": """", ""goog-k8s-cluster-name"": ""schemel-demo"", ""goog-k8s-node-pool-name"": ""default-pool"", ""goog-gke-cost-management"": """", ""goog-k8s-cluster-location"": ""us-west1-c"", ""goog-gke-cluster-id-base32"": ""uldygnledzhodkqxfw3nhbfd56pzdzfwyy3eamehx5xcu4qtbcea"", ""gke-schemel-demo-a2c78335-node"": ""gke-schemel-demo-a2c78335-node""}",VIRTUAL_MACHINE,compute#instance,2024-10-30T19:29:41Z
Finance-VM1,7e6f2e66-80c8-46ae-8b79-0d74182b9775,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/bm-rg-01/providers/microsoft.compute/virtualmachines/finance-vm1,Azure,Wiz - Demo-Scenarios,fee3535b-9616-486f-a476-6a500a08a02b,"ACME corp,Acme,Acme Azure App,App A,Azure: Wiz-Demo-Scenarios,EBC_Labs,Payment Apps,Wiz Factory Prod,Wiz Inc,Wiz Prod",eastus,"{""owner"": ""DemoTeam""}",VIRTUAL_MACHINE,Microsoft.Compute/virtualMachines,2024-10-30T19:50:52Z
snowmid01,arn:aws:ec2:us-east-2:984186218765:instance/i-0244f572180f4ab34,i-0244f572180f4ab34,AWS,AWS Demo1,984186218765,"ACME corp,AWS demo,Acme,Acme AWS App,Acme Prod App,EBC_Labs",us-east-2,"{""Name"": ""snowmid01""}",VIRTUAL_MACHINE,virtualMachine,2024-10-30T18:30:10Z
licht-k8s,VirtualMachine:vm-9973,ced82e81-0a46-4762-8198-470e44bf7000_VirtualMachine:vm-9973,vSphere,Wiz-Demo-DC-6-7,ced82e81-0a46-4762-8198-470e44bf7000_Datacenter:datacenter-2,Vsphere Env,,{},VIRTUAL_MACHINE,vsphere#virtualMachine,2024-10-30T20:45:45Z
UBUNTU-18-04,VirtualMachine:vm-18,ced82e81-0a46-4762-8198-470e44bf7000_VirtualMachine:vm-18,vSphere,Wiz-Demo-DC-6-7,ced82e81-0a46-4762-8198-470e44bf7000_Datacenter:datacenter-2,Vsphere Env,,"{""New Tag"": ""asd""}",VIRTUAL_MACHINE,vsphere#virtualMachine,2024-10-30T20:45:46Z
wiz,VirtualMachine:vm-64,730f64db-1635-4db6-8ab2-567ad1f0ccf7_VirtualMachine:vm-64,vSphere,Wiz-Demo-DC-8,730f64db-1635-4db6-8ab2-567ad1f0ccf7_Datacenter:datacenter-3,Vsphere Env,,{},VIRTUAL_MACHINE,vsphere#virtualMachine,2024-10-30T18:50:26Z
Grafana-misconfig-dani,arn:aws:ec2:us-east-2:001791986277:instance/i-024ac35f5e7c56750,i-024ac35f5e7c56750,AWS,AWS Demo Scenarios 2,001791986277,"AWS demo,Acme,Acme AWS App,EBC_Labs,Wiz Dev,Wiz Factory Dev,Wiz Inc",us-east-2,"{""Name"": ""Grafana-misconfig-dani""}",VIRTUAL_MACHINE,virtualMachine,2024-10-30T20:04:57Z
cluster-krqsv-worker-westeurope2-qk6zt,89bc9684-3dd5-42f3-bf34-f2b0eb95d850,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/aro-b6ppqb26/providers/microsoft.compute/virtualmachines/cluster-krqsv-worker-westeurope2-qk6zt,Azure,Wiz - Demo-Scenarios,fee3535b-9616-486f-a476-6a500a08a02b,"ACME corp,Acme,Acme Azure App,App A,Azure: Wiz-Demo-Scenarios,EBC_Labs,Payment Apps,Wiz Factory Prod,Wiz Inc,Wiz Prod",westeurope,"{""kubernetes.io-cluster-cluster-krqsv"": ""owned""}",VIRTUAL_MACHINE,Microsoft.Compute/virtualMachines,2024-10-30T19:50:52Z
yanivs-test,arn:aws:ec2:eu-central-1:001791986277:instance/i-090539930e9dace3f,i-090539930e9dace3f,AWS,AWS Demo Scenarios 2,001791986277,"AWS demo,Acme,Acme AWS App,EBC_Labs,Wiz Dev,Wiz Factory Dev,Wiz Inc",eu-central-1,"{""Name"": ""yanivs-test""}",VIRTUAL_MACHINE,virtualMachine,2024-10-30T20:04:49Z
arn:aws:ec2:us-east-2:984186218765:instance/i-05147627573bf6398,arn:aws:ec2:us-east-2:984186218765:instance/i-05147627573bf6398,i-05147627573bf6398,AWS,AWS Demo1,984186218765,"ACME corp,AWS demo,Acme,Acme AWS App,Acme Prod App,EBC_Labs",us-east-2,"{""itayAr-train"": """"}",VIRTUAL_MACHINE,virtualMachine,2024-10-30T18:30:11Z
SB-VS-8,VirtualMachine:vm-6017,730f64db-1635-4db6-8ab2-567ad1f0ccf7_VirtualMachine:vm-6017,vSphere,Wiz-Demo-DC-8,730f64db-1635-4db6-8ab2-567ad1f0ccf7_Datacenter:datacenter-3,Vsphere Env,,{},VIRTUAL_MACHINE,vsphere#virtualMachine,2024-10-30T18:50:27Z
it-team-regional,arn:aws:ec2:eu-central-1:984186218765:instance/i-0b555b039aaa8eeef,i-0b555b039aaa8eeef,AWS,AWS Demo1,984186218765,"ACME corp,AWS demo,Acme,Acme AWS App,Acme Prod App,EBC_Labs",eu-central-1,"{""Name"": ""it-team-regional""}",VIRTUAL_MACHINE,virtualMachine,2024-10-30T18:30:07Z
testing-models,arn:aws:ec2:eu-central-1:001791986277:instance/i-0a718ecdc593adf19,i-0a718ecdc593adf19,AWS,AWS Demo Scenarios 2,001791986277,"AWS demo,Acme,Acme AWS App,EBC_Labs,Wiz Dev,Wiz Factory Dev,Wiz Inc",eu-central-1,"{""Name"": ""testing-models""}",VIRTUAL_MACHINE,virtualMachine,2024-10-30T20:04:47Z
pse-bastion,https://www.googleapis.com/compute/v1/projects/acme-prod-env/zones/europe-west1-c/instances/pse-bastion,837660875165163364,GCP,ACME-PROD-ENV,acme-prod-env,"ACME corp,Acme,Acme GCP App,App A,EBC_Labs,GCP Demo,GCP Subscription Project ,Google Workspace _GCP Org Demo,Wiz Factory Prod,Wiz Inc,Wiz Prod",europe-west1,{},VIRTUAL_MACHINE,compute#instance,2024-10-30T19:26:21Z
wiz-remediation-demo-controlvm,db51af6f-c957-4f5f-9a69-1ae30692e790,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/wiz-remediation-demo-resources/providers/microsoft.compute/virtualmachines/wiz-remediation-demo-controlvm,Azure,Wiz - Demo-Scenarios,fee3535b-9616-486f-a476-6a500a08a02b,"ACME corp,Acme,Acme Azure App,App A,Azure: Wiz-Demo-Scenarios,EBC_Labs,Payment Apps,Wiz Factory Prod,Wiz Inc,Wiz Prod",northeurope,"{""wiz-remediation-demo"": ""true""}",VIRTUAL_MACHINE,Microsoft.Compute/virtualMachines,2024-10-30T19:50:52Z
Itay for cross account,arn:aws:ec2:eu-central-1:001791986277:instance/i-0b87770e62bae6ca5,i-0b87770e62bae6ca5,AWS,AWS Demo Scenarios 2,001791986277,"AWS demo,Acme,Acme AWS App,EBC_Labs,Wiz Dev,Wiz Factory Dev,Wiz Inc",eu-central-1,"{""Name"": ""Itay for cross account""}",VIRTUAL_MACHINE,virtualMachine,2024-10-30T20:04:53Z
MIDserver-SNOW-app,d0bd9bc8-12f5-48d9-9db5-4c5108ec17b1,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/myresourcegroup/providers/microsoft.compute/virtualmachines/midserver-snow-app,Azure,Wiz - Demo-Scenarios,fee3535b-9616-486f-a476-6a500a08a02b,"ACME corp,Acme,Acme Azure App,App A,Azure: Wiz-Demo-Scenarios,EBC_Labs,Junior Dev project,Payment Apps,Wiz Factory Prod,Wiz Inc,Wiz Prod",eastus,"{""Owner"": ""JD""}",VIRTUAL_MACHINE,Microsoft.Compute/virtualMachines,2024-10-30T19:50:53Z
lke169745-247347-2e3d7f180000,c9d1b4eac563340b5189eadc9be349840a5b7d20,57243874,Linode,B5F41BA9-0189-4534-B39B0BC67FB732F3,B5F41BA9-0189-4534-B39B0BC67FB732F3,,us-southeast,{},VIRTUAL_MACHINE,linode/instance,2024-10-30T19:42:29Z
oke-ctcdsle7twq-nh7zqwfj7la-shxfuaftgtq-0,ocid1.instance.oc1.iad.anuwcljt356jruicw5wzmh7b3wkyg7k4kd4dkctdo4se33tpjgro7tpbsauq,ocid1.instance.oc1.iad.anuwcljt356jruicw5wzmh7b3wkyg7k4kd4dkctdo4se33tpjgro7tpbsauq,OCI,wiz-outpost-oron-v2,ocid1.compartment.oc1..aaaaaaaaywfdxfz5xhjfcy6tahdsfhsdjrd4ltk6erlvzfoyaekhc3bn7dsq,"Acme,Acme Oracle App,OCI demo",us-ashburn-1,"{""Oracle-Tags.CreatedBy"": ""oke"", ""Oracle-Tags.CreatedOn"": ""2022-05-23T22:19:31.351Z""}",VIRTUAL_MACHINE,oci#computeInstance,2024-10-30T19:03:23Z
